,type,text,likes,retweets,num_comments,url
0,nr,"Though there are only a few known cases in the U.S., the coronavirus outbreak has left some Asian-Americans feeling an unsettling level of public scrutiny  https://nyti.ms/2u8DhuU\xc2\xa0",294,105,40,twitter.com/nytimes/status/1229138385828225024
1,nr,"An American woman who left a cruise ship in Cambodia last week and flew to Malaysia with more than a hundred other passengers has tested positive for the coronavirus, Malaysia\xe2\x80\x99s deputy prime minister said on Sunday  https://nyti.ms/2HvkKvS\xc2\xa0",347,186,43,twitter.com/nytimes/status/1229113238077476866
2,nr,"As U.S. passengers prepared to evacuate, Japanese health officials said the number of confirmed coronavirus cases found on the Diamond Princess had grown to 355. \xe2\x80\x9cCan\xe2\x80\x99t get off here fast enough,\xe2\x80\x9d a medical social worker from California told reporters.  https://nyti.ms/39CpxaB\xc2\xa0",322,184,42,twitter.com/nytimes/status/1229103159714422789
3,nr,A Japanese couple who visited Hawaii tested positive for the coronavirus after returning to Japan. Hawaii health officials are investigating to see if anyone else was exposed.  https://nyti.ms/2UYgDQO\xc2\xa0,396,221,23,twitter.com/nytimes/status/1229098136272019457
4,nr,Chinese authorities have acknowledged that President Xi Jinping was aware of the coronavirus outbreak nearly 2 weeks before he first spoke publicly about it \xe2\x80\x94 and while officials at its epicenter were still playing down its dangers  https://nyti.ms/2uE1kCd\xc2\xa0,686,548,89,twitter.com/nytimes/status/1229057871041703939
5,nr,"After hundreds of passengers were allowed to disembark from a cruise ship in Cambodia, an American tested positive for coronavirus. Follow the latest on the coronavirus here.  https://nyti.ms/38JoyW0\xc2\xa0",343,171,28,twitter.com/nytimes/status/1229052819010924545
6,nr,"A Chinese tourist has died in France of the coronavirus, the French health minister said on Saturday, becoming the outbreak\xe2\x80\x99s first fatality in Europe and outside Asia  https://nyti.ms/2UUkqyE\xc2\xa0",291,168,16,twitter.com/nytimes/status/1228982798544973827
7,nr,"Breaking News: After hundreds of passengers were allowed to disembark from a cruise ship in Cambodia, an American tested positive for coronavirus.\n https://nyti.ms/2wdDk9d\xc2\xa0",498,295,57,twitter.com/nytimes/status/1228969879086260226
8,nr,"China is battling the coronavirus outbreak with grass-roots mobilization, essentially entrusting front line epidemic prevention to a supercharged version of a neighborhood watch  https://nyti.ms/37uKCCr\xc2\xa0",363,198,53,twitter.com/nytimes/status/1228898426491985921
9,nr,"A husband and wife, both in their 60s,\xc2\xa0tested positive for the coronavirus in Japan this week after returning from a 10-day vacation in Hawaii, health officials said  https://nyti.ms/2uCq2CZ\xc2\xa0",271,173,26,twitter.com/nytimes/status/1228869123444219905
10,nr,\xe2\x80\x9cWe want to speak.\xe2\x80\x9d Watch how Chinese citizens are documenting the coronavirus outbreak and staying ahead of government censors.\n https://nyti.ms/37PyKuT\xc2\xa0,1473,1004,61,twitter.com/nytimes/status/1231704064318152709
11,nr,"Italy has announced nearly 150 cases of the coronavirus, many in the densely populated region around Milan, as officials closed schools and canceled Venice\xe2\x80\x99s carnival celebrations\n https://nyti.ms/39YTge9\xc2\xa0",624,520,40,twitter.com/nytimes/status/1231696504374558721
