,screen_name,username,user_id,tweet_id,tweet_url,timestamp,timestamp_epochs,text,text_html,links,hashtags,has_media,img_urls,video_url,likes,retweets,replies,is_replied,is_reply_to,parent_tweet_id,reply_to_users
0,Ghardnia33,Sara Bazeed,4913624399,1223757521736937472,/Ghardnia33/status/1223757521736937472,2020-02-01 23:58:24,1580601504,"India just announced that the #coronavirus had at least 4 protein inserts from HIV, which is a sign of engineering, leading them to believe this was an engineered bioweapon. ⁦⁦⁩","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">India just announced that the <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/coronavirus?src=hash""><s>#</s><b><strong>coronavirus</strong></b></a> had at least 4 protein inserts from HIV, which is a sign of engineering, leading them to believe this was an engineered <strong>bioweapon</strong>. ⁦⁦<img alt=""💁🏻‍♀️"" aria-label=""Emoji: Woman tipping hand (light skin tone)"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f481-1f3fb-200d-2640-fe0f.png"" title=""Woman tipping hand (light skin tone)""/>⁩</p>",[],['coronavirus'],False,[],,7,4,1,True,False,,[]
1,RobertP48264217,Robert Petersen,1220673990080987136,1223756838426095617,/RobertP48264217/status/1223756838426095617,2020-02-01 23:55:41,1580601341,"#coronavirus

Is Wuhan Coronavirus A Bioweapon?  Here are what the facts say.: https://epochtimes.today/is-wuhan-coronavirus-a-bioweapon-here-are-what-the-facts-say/ …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/coronavirus?src=hash""><s>#</s><b><strong>coronavirus</strong></b></a>

Is Wuhan <strong>Coronavirus</strong> A <strong>Bioweapon</strong>?  Here are what the facts say.: <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://epochtimes.today/is-wuhan-coronavirus-a-bioweapon-here-are-what-the-facts-say/"" dir=""ltr"" href=""https://t.co/tE6xLSeb2c"" rel=""nofollow noopener"" target=""_blank"" title=""https://epochtimes.today/is-wuhan-coronavirus-a-bioweapon-here-are-what-the-facts-say/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">epochtimes.today/is-wuhan-coron</span><span class=""invisible"">avirus-a-bioweapon-here-are-what-the-facts-say/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://epochtimes.today/is-wuhan-coronavirus-a-bioweapon-here-are-what-the-facts-say/'],['coronavirus'],False,[],,0,1,0,False,False,,[]
2,agingboomer1,KGB Barbary Bard (Easter Worshiper),1192179912641265665,1223756253136150528,/agingboomer1/status/1223756253136150528,2020-02-01 23:53:21,1580601201,Research paper by Indian scientists on coronavirus fuels bioweapon theories - The Week https://www.theweek.in/news/sci-tech/2020/02/01/research-paper-by-indian-scientists-on-coronavirus-fuels-bioweapon-theories.html …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Research paper by Indian scientists on <strong>coronavirus</strong> fuels <strong>bioweapon</strong> theories - The Week <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.theweek.in/news/sci-tech/2020/02/01/research-paper-by-indian-scientists-on-coronavirus-fuels-bioweapon-theories.html"" dir=""ltr"" href=""https://t.co/AnQ6T1qz34"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.theweek.in/news/sci-tech/2020/02/01/research-paper-by-indian-scientists-on-coronavirus-fuels-bioweapon-theories.html""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">theweek.in/news/sci-tech/</span><span class=""invisible"">2020/02/01/research-paper-by-indian-scientists-on-coronavirus-fuels-bioweapon-theories.html</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.theweek.in/news/sci-tech/2020/02/01/research-paper-by-indian-scientists-on-coronavirus-fuels-bioweapon-theories.html'],[],False,[],,0,0,1,True,False,,[]
3,meganotfakenews,meganotfakenews,988045064164335617,1223755917008809984,/meganotfakenews/status/1223755917008809984,2020-02-01 23:52:01,1580601121,Breaking: Coronavirus Is Bioweapon For Population Control https://youtu.be/-1qaKpAQDW0  via @YouTube yep,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Breaking: <strong>Coronavirus</strong> Is <strong>Bioweapon</strong> For Population Control <a class=""twitter-timeline-link"" data-expanded-url=""https://youtu.be/-1qaKpAQDW0"" dir=""ltr"" href=""https://t.co/z9V8mXc0v6"" rel=""nofollow noopener"" target=""_blank"" title=""https://youtu.be/-1qaKpAQDW0""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">youtu.be/-1qaKpAQDW0</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> via <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""10228272"" dir=""ltr"" href=""/YouTube""><s>@</s><b>YouTube</b></a> yep</p>",['https://youtu.be/-1qaKpAQDW0'],[],False,[],,0,0,0,False,False,,[]
4,FranKGRubio,FranKGRubio,2239658366,1223755608299573251,/FranKGRubio/status/1223755608299573251,2020-02-01 23:50:47,1580601047,"Coronavirus Contains “HIV Insertions”, Stoking Fears Over Artificially Created Bioweapon https://www.infowars.com/coronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon/ …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Coronavirus</strong> Contains “HIV Insertions”, Stoking Fears Over Artificially Created <strong>Bioweapon</strong> <a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.infowars.com/coronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon/"" dir=""ltr"" href=""https://t.co/iCc9y1AMAq"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.infowars.com/coronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">infowars.com/coronavirus-co</span><span class=""invisible"">ntains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.infowars.com/coronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon/'],[],False,[],,0,0,0,False,False,,[]
5,KOBA1556,Cincinnatus,348287058,1223755026268483585,/KOBA1556/status/1223755026268483585,2020-02-01 23:48:29,1580600909,"Coronavirus Contains ""HIV Insertions"", Stoking Fears Over Artificially Created Bioweapon | Zero Hedge https://www.zerohedge.com/geopolitical/coronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Coronavirus</strong> Contains ""HIV Insertions"", Stoking Fears Over Artificially Created <strong>Bioweapon</strong> | Zero Hedge <a class=""twitter-timeline-link"" data-expanded-url=""https://www.zerohedge.com/geopolitical/coronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon"" dir=""ltr"" href=""https://t.co/Pkewoj3jjC"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.zerohedge.com/geopolitical/coronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">zerohedge.com/geopolitical/c</span><span class=""invisible"">oronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.zerohedge.com/geopolitical/coronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon'],[],False,[],,0,0,0,False,False,,[]
6,DonBahn1,Don Bahn,501270077,1223754931385049089,/DonBahn1/status/1223754931385049089,2020-02-01 23:48:06,1580600886,"Coronavirus Contains ""HIV Insertions"", Stoking Fears Over Artificially Created Bioweapon https://realconservativesunite.com/2020/02/01/coronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon/ …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Coronavirus</strong> Contains ""HIV Insertions"", Stoking Fears Over Artificially Created <strong>Bioweapon</strong> <a class=""twitter-timeline-link"" data-expanded-url=""https://realconservativesunite.com/2020/02/01/coronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon/"" dir=""ltr"" href=""https://t.co/KbKxDpM2a6"" rel=""nofollow noopener"" target=""_blank"" title=""https://realconservativesunite.com/2020/02/01/coronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">realconservativesunite.com/2020/02/01/cor</span><span class=""invisible"">onavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://realconservativesunite.com/2020/02/01/coronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon/'],[],False,[],,0,0,0,False,False,,[]
7,Astrakoscom,astrakos.com,1188594685587144705,1223754333717782528,/Astrakoscom/status/1223754333717782528,2020-02-01 23:45:44,1580600744,Bioweapon #Corona Virus. Is It Biological war or hygiene Issuehttps://astrakos.com/bioweapon-corona-virus-is-it-biological-war-or-hygiene-issue/ …,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Bioweapon</strong> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Corona?src=hash""><s>#</s><b>Corona</b></a> Virus. Is It Biological war or hygiene Issue<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://astrakos.com/bioweapon-corona-virus-is-it-biological-war-or-hygiene-issue/"" dir=""ltr"" href=""https://t.co/kaRSUwR6ZB"" rel=""nofollow noopener"" target=""_blank"" title=""https://astrakos.com/bioweapon-corona-virus-is-it-biological-war-or-hygiene-issue/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">astrakos.com/bioweapon-coro</span><span class=""invisible"">na-virus-is-it-biological-war-or-hygiene-issue/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://astrakos.com/bioweapon-corona-virus-is-it-biological-war-or-hygiene-issue/'],['Corona'],False,[],,0,1,0,False,False,,[]
8,Skyl3r26,скйлер,1110916342905921537,1223754168671723520,/Skyl3r26/status/1223754168671723520,2020-02-01 23:45:04,1580600704,"Yeah apparently they said the corona virus was created by some Chinese doctor as a bioweapon, then identified who the doctor was","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Yeah apparently they said the <strong>corona virus</strong> was created by some Chinese doctor as a <strong>bioweapon</strong>, then identified who the doctor was</p>",[],[],False,[],,0,0,1,True,True,1223751922961633280,"[{'screen_name': 'redsteeze', 'user_id': '393469195'}]"
9,FreedomDreamQ9,FreedomLevel,982293205998698496,1223753723903533056,/FreedomDreamQ9/status/1223753723903533056,2020-02-01 23:43:18,1580600598,"Coronavirus Contains ""HIV Insertions"", Stoking Fears Over Artificially Created Bioweapon | Zero Hedge https://www.zerohedge.com/geopolitical/coronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon …","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><strong>Coronavirus</strong> Contains ""HIV Insertions"", Stoking Fears Over Artificially Created <strong>Bioweapon</strong> | Zero Hedge <a class=""twitter-timeline-link"" data-expanded-url=""https://www.zerohedge.com/geopolitical/coronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon"" dir=""ltr"" href=""https://t.co/xtxzEmVAKT"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.zerohedge.com/geopolitical/coronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">zerohedge.com/geopolitical/c</span><span class=""invisible"">oronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",['https://www.zerohedge.com/geopolitical/coronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon'],[],False,[],,0,0,0,False,False,,[]
