,type,text,url
0,r,"India just announced that the #coronavirus had at least 4 protein inserts from HIV, which is a sign of engineering, leading them to believe this was an engineered bioweapon. ⁦⁦⁩",twitter.com/Ghardnia33/status/1223757521736937472
1,r,"#coronavirus

Is Wuhan Coronavirus A Bioweapon?  Here are what the facts say.: https://epochtimes.today/is-wuhan-coronavirus-a-bioweapon-here-are-what-the-facts-say/ …",twitter.com/RobertP48264217/status/1223756838426095617
2,r,Research paper by Indian scientists on coronavirus fuels bioweapon theories - The Week https://www.theweek.in/news/sci-tech/2020/02/01/research-paper-by-indian-scientists-on-coronavirus-fuels-bioweapon-theories.html …,twitter.com/agingboomer1/status/1223756253136150528
3,r,Breaking: Coronavirus Is Bioweapon For Population Control https://youtu.be/-1qaKpAQDW0  via @YouTube yep,twitter.com/meganotfakenews/status/1223755917008809984
4,r,"Coronavirus Contains “HIV Insertions”, Stoking Fears Over Artificially Created Bioweapon https://www.infowars.com/coronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon/ …",twitter.com/FranKGRubio/status/1223755608299573251
5,r,"Coronavirus Contains ""HIV Insertions"", Stoking Fears Over Artificially Created Bioweapon | Zero Hedge https://www.zerohedge.com/geopolitical/coronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon …",twitter.com/KOBA1556/status/1223755026268483585
6,r,"Coronavirus Contains ""HIV Insertions"", Stoking Fears Over Artificially Created Bioweapon https://realconservativesunite.com/2020/02/01/coronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon/ …",twitter.com/DonBahn1/status/1223754931385049089
7,r,Bioweapon #Corona Virus. Is It Biological war or hygiene Issuehttps://astrakos.com/bioweapon-corona-virus-is-it-biological-war-or-hygiene-issue/ …,twitter.com/Astrakoscom/status/1223754333717782528
8,r,"Yeah apparently they said the corona virus was created by some Chinese doctor as a bioweapon, then identified who the doctor was",twitter.com/Skyl3r26/status/1223754168671723520
9,r,"Coronavirus Contains ""HIV Insertions"", Stoking Fears Over Artificially Created Bioweapon | Zero Hedge https://www.zerohedge.com/geopolitical/coronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon …",twitter.com/FreedomDreamQ9/status/1223753723903533056
10,r,"What spreads faster than #Coronavirus #2019_nCov ?

Number of #biotech and #BIOWEAPON experts on Twitter.",twitter.com/bull_picture/status/1223753528557965312
11,r,"Coronavirus Contains ""HIV Insertions"", Stoking Fears Over Artificially Created Bioweapon | Zero Hedge https://www.zerohedge.com/geopolitical/coronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon …",twitter.com/Trumpet38199003/status/1223753196708847618
12,r,China Slams Israeli Claim That Coronavirus Came From Bioweapon Lab https://www.insideover.com/society/china-slams-israeli-claim-that-coronavirus-came-from-bioweapon-lab.html …,twitter.com/FranKGRubio/status/1223752142915325952
13,r,"Coronavirus Contains ""HIV Insertions"", Stoking Fears Over Artificially Created Bioweapon | Zero Hedge https://www.zerohedge.com/geopolitical/coronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon#WuhanCoronavirus …",twitter.com/LuizaP16/status/1223749826401243136
14,r,@RandPaul The Coronavirus has now been identified to have HIV-1 gene parts in it >>> BIOWEAPON >>> click below pic.twitter.com/k6zKgDTcKq,twitter.com/JimiWannabe/status/1223749587736776704
15,r,Corona virus is bioweapon,twitter.com/_AmbitiousAnt/status/1223749237411807238
16,r,@TuckerCarlson The Coronavirus has now been identified to have HIV-1 gene parts in it >>> BIOWEAPON >>> click below pic.twitter.com/rzlt5OzrhI,twitter.com/JimiWannabe/status/1223749021199560704
17,r,@realDonaldTrump HEY MR. PRESIDENT: why the hell are you still nice with China? THE CORONAVIRUS HAS NOW BEEN IDENTIFIED TO HAVE HIV-1 GENE PARTS IN IT!! It's a freaking BIOWEAPON!! click below pic.twitter.com/2YC4r9rwGa,twitter.com/JimiWannabe/status/1223748626276421632
18,r,"Coronavirus Contains ""HIV Insertions"", Stoking Fears Over Artificially Created Bioweapon | Zero Hedge https://www.zerohedge.com/geopolitical/coronavirus-contains-hiv-insertions-stoking-fears-over-artificially-created-bioweapon …",twitter.com/Hans11160S/status/1223747928587677699
19,r,"Could this be the man behind coronavirus? Bill Gates owned patent and runs simulation 3 months prior to epidemic? A 'bioweapon?'

 https://www.zerohedge.com/health/man-behind-global-coronavirus-pandemic …",twitter.com/CoreyWarner3/status/1223747718490873859
20,r,Whistleblower claims Chinese government tried to spread Coronavirus bioweapon to U.S. military during Wuhan Military World Games event http://bit.ly/2v5W9eb  via @intellihubnews,twitter.com/DanAdam62662897/status/1225568452775174145
21,r,"Hmm... new theory here about CIA, coronavirus & toppling the CCP. 

Regardless, it appears to be a bioweapon, it's devastating entire families in Wuhan, & it's deeply troubling to see. #contagion
Coronavirus & CIA (Skull & Bones) code - Dr. Paul Cottrell
https://thephaser.com/2020/02/coronavirus-and-cia-skull-bones-code-by-dr-paul-cottrell/ …https://twitter.com/VOG_2020/status/1213368626671017985 …",twitter.com/SGTreport/status/1225568069625483264
22,r,"Oh my God. This is the first time I start to believe, that the novel #coronavirus really may be a bio~weapon and escaped from a laboratory. Very very creepy .
#Wuhan #China #laboratory #BioWeapon
https://halturnerradioshow.com/index.php/en/news-page/news-nation/proof-the-novel-coronavirus-infecting-the-world-is-a-military-bio-weapon-developed-by-china-s-army …",twitter.com/HabibtiMimi/status/1225565484696862720
23,r,"Definitive proof that #Coronavirus is a globalist bioweapon
https://patriots4truth.org/2020/01/28/corona-virus-is-a-globalist-bioweapon/ …
#CORONAVIRUS TRACED TO THE BRITISH CROWN
https://americans4innovation.blogspot.com/2020/01/coronavirus-traced-to-british-crown.html#coronavirus-pirbright-and-serco …",twitter.com/NHScorrupt/status/1225562024186392577
24,r,"Bat soup, dodgy cures and 'diseasology': the spread of #coronavirus misinformation  @narangvipin quoted: There is no evidence it is a bioweapon https://www.theguardian.com/world/2020/jan/31/bat-soup-dodgy-cures-and-diseasology-the-spread-of-coronavirus-bunkum?CMP=share_btn_tw …",twitter.com/MIT_CIS/status/1225561761895546880
25,r,Whistleblower claims Chinese government tried to spread Coronavirus bioweapon to U.S. military during Wuhan Military World Games event http://bit.ly/2v5W9eb  via @intellihubnews,twitter.com/gldbug/status/1225560996808478720
26,r,"Definitive proof that #Coronavirus is a globalist bioweapon
https://patriots4truth.org/2020/01/28/corona-virus-is-a-globalist-bioweapon/ …
#CORONAVIRUS TRACED TO THE BRITISH CROWN
https://americans4innovation.blogspot.com/2020/01/coronavirus-traced-to-british-crown.html#coronavirus-pirbright-and-serco …",twitter.com/NHScorrupt/status/1225560838351794176
27,r,Does this include #BioWeapon R&D? (#2019nCoV #coronavirus),twitter.com/kleptocurious/status/1225556201615826944
28,r,Proof it was a Chinese Bioweapon. China should have to pay compensation to all countries and victims affected. Deny the patent. Very bad chinese commies. #coronavirus,twitter.com/FarmerNC/status/1225551307978821634
29,r,#CCPChina has known for more than 2 weeks how bad the #CoronaOutbreak is. #ChinaLies to the world to #CoverUp the #truth that #coronavirus was a #BioWeapon created in #wuhan. #WuhanCoronavirus #ccp #CCP_is_terrorist #chinaoutbreak #ChinaVirus #CoronaVirusCanada #coronaviruschinahttps://twitter.com/MisterAntiBully/status/1225465240697044997 …,twitter.com/Gorillas_Got_It/status/1225550612374474753
30,r,"The wouldn't waste their time on coronavirus - it already has close to a thousand mutations, all of which are useless as a bioweapon, including the current outbreak mutation.  They would use another virus - not going to mention which one.",twitter.com/5MinuteTrade/status/1225545156264431618
31,r,"New Evidence Emerges: Coronavirus “Bioweapon” Might Have Been A Chinese Vaccine Experiment Gone Wrong… Genes Contain “pShuttle-SN” Sequences, Proving Laboratory Origin https://jonsnewplace.wordpress.com/2020/02/06/new-evidence-emerges-coronavirus-bioweapon-might-have-been-a-chinese-vaccine-experiment-gone-wrong-genes-contain-pshuttle-sn-sequences-proving-laboratory/ …",twitter.com/jon2775/status/1225544876693037058
32,r,"If Coronavirus 2019-nCoV was really designed as a bioweapon - how embarrassing!

Consider these case fatality rates.

Rabies 99%
Smallpox 95%
Ebola 90%
AIDS 90%
Anthrax 85%
H5N1 60%
Tetanus 50%
MERS 45%
TB 43%
Cancer 30%
SARS 11%
Diphtheria 10%
Pertussis 3.7%
2019-nCoV 2%",twitter.com/ProAntiVaxxer/status/1225539346075439106
33,r,"If Coronavirus 2019-nCoV was really designed as a bioweapon - how embarrassing!

Consider these case fatality rates.

Rabies 99%
Smallpox 95%
Ebola 90%
AIDS 90%
Anthrax 85%
H5N1 60%
Tetanus 50%
MERS 45%
TB 43%
Cancer 30%
SARS 11%
Diphtheria 10%
Pertussis 3.7%
2019-nCoV 2%",twitter.com/ProAntiVaxxer/status/1225539307202633730
34,r,"How many are testing negative who are actually infected? If you can’t screen and test for it, you can’t contain it 
#coronaoutbreak #Coronavirus #CoronavirusOutbreak #nCov2019 #2019nCov #Bioweapon #nC0V2019 #2019nC0V #coronavirusHK #virus #Wuhanvirus #chinacoronavirushttps://twitter.com/waisingrin/status/1225522940411818001 …",twitter.com/OCDrises/status/1225532476627595264
35,r,"The Great Pandemic Hoax? Is the Coronavirus a Bioweapon? – [David Icke]: On January 30, the World Health Organization (WHO) declared the “coronavirus outbreak (to be) a public health emerg... https://mara-gamiel.blogspot.com/2020/02/the-great-pandemic-hoax-is-coronavirus.html …pic.twitter.com/sXugWAwE9b",twitter.com/mattjamesmedium/status/1225529701206306816
36,r,Corona virus been patented it’s a bioweapon,twitter.com/joanbon3/status/1225527970313441280
37,r,Now infowars says #coronavirus released on purpose. Adams/AJ agree. I have said from the start #coronavirus bioweapon on purpose. They say food supplies will be gone. USA in trouble. Required vaccine. People asleep. #Israel peace plan almost 3 weeks ago. Mark of the beast comes.,twitter.com/FarmerNC/status/1229192637292433408
38,r,Now infowars says #coronavirus released on purpose. Adams/AJ agree. I have said from the start #coronavirus bioweapon on purpose. They say food supplies will be gone. USA in trouble. Required vaccine. People asleep. #Israel peace plan almost 3 weeks ago. Mark of the beast comes.,twitter.com/FarmerNC/status/1229192412465188864
39,r,Seems to me me like  #Coronavirus is a bioweapon designed to reduce the population of china by it's own leadership. Anyone noticing a pattern with communist china?,twitter.com/HappiestPuppy/status/1229192267434483714
40,r,Now infowars says #coronavirus released on purpose. Adams/AJ agree. I have said from the start #coronavirus bioweapon on purpose. They say food supplies will be gone. USA in trouble. Required vaccine. People asleep. #Israel peace plan almost 3 weeks ago. Mark of the beast comes.,twitter.com/FarmerNC/status/1229192255736614915
41,r,"Cover-story for the real one, the bioweapon release. 

#CoronaVirus #WuFlu #CoVid19https://twitter.com/kr3at/status/1229155840344629253 …",twitter.com/scotbot/status/1229190727818731520
42,r,The coronavirus running around China right now may have come from a bioweapon/bioresearch combo lab just down the road? It's hardly farfetched. Just hard to prove in the legal sense. The similarities to Chernobyl just keep piling up though.,twitter.com/jackofallchems2/status/1229187625464008704
43,r,"@SenTomCotton 

Check this link for footnoted evidence of patent on corona virus and who is behind it. If true it's definitely an engineered  pandemic bioweapon.",twitter.com/realArizonaDan/status/1229183323890520065
44,r,"Coronavirus is not what you would use for a bioweapon.  Mutates too fast.  It IS what you would use in any number of testing/experimentation scenarios, clipping in all kinds of sequences and seeing what happens.  This is just my opinion as a jack of all trades.",twitter.com/RandyCarter9455/status/1229180765541486595
45,r,"Salam, the unroll you asked for: Thread by @SamParkerSenate: 1. Wuhan Coronavirus is an engineered offensive bioweapon. You're not being told this by… https://threadreaderapp.com/thread/1226311942354042880.html …. Have a good day.",twitter.com/threadreaderapp/status/1229178987424964608
46,r,"Viruses are damaging because of #5G.
This #COVID-19 
or #CORONAVIRUS is a manmade #BIOWEAPON !
It was created in the Wuhan Laboratory and is a #TESTRUN !

This is just the beginning.  
They are burning money in China.
Medical Martial Law soon.
@NWO Order out of chaos.pic.twitter.com/UgDoAExMel",twitter.com/Yelisa888/status/1229176802351992834
47,r,Chris Busby: Corona Virus Seems to be an engineered bioweapon https://www.therussophile.org/chris-busby-corona-virus-seems-to-be-an-engineered-bioweapon-2.html/ …,twitter.com/therussophile/status/1229176615944564737
48,r,Chris Busby: Corona Virus Seems to be an engineered bioweapon https://www.therussophile.org/chris-busby-corona-virus-seems-to-be-an-engineered-bioweapon.html/ …,twitter.com/therussophile/status/1229176593140125701
49,r,"#China
#CoronaVirus 
#BioWar
#Bioweapon
#MustReadhttps://twitter.com/GreatGameIndia/status/1221783626678861824 …",twitter.com/UnchaTiranga/status/1229175248215515139
50,r,Chris Busby: Corona Virus Seems to be an engineered bioweapon https://www.veteranstoday.com/2020/02/16/chris-busby-corona-virus-seems-to-be-an-engineered-bioweapon/ … via @veteranstoday,twitter.com/MussaPie/status/1229174732047683584
51,r,"Not exactly what I said, but I can’t deny China’s efforts to contain the coronavirus is causing panic of its own. Though publicly speculating that an epidemic has been caused by some sort of bioweapon without support can cause panic too.",twitter.com/PatzBenjamin/status/1229174384843161600
52,r,This is a bad development. They come into contact with so many people every day. #China #Coronavirus #coronaoutbreak #CoronavirusOutbreak #SARSCoV2 #Covid19 #2019nCoV #Bioweapon #coronavirususa #coronavirusjapan #coronavirussingapore #pandemic #Coronavirustruth #coronaviruschinahttps://twitter.com/lookner/status/1229173171963793414 …,twitter.com/OCDrises/status/1229173857182834688
53,r,Chris Busby: Corona Virus Seems to be an engineered bioweapon https://www.veteranstoday.com/2020/02/16/chris-busby-corona-virus-seems-to-be-an-engineered-bioweapon/ … via @veteranstoday,twitter.com/tomichka44/status/1229173384711307264
54,r,"Hello, there is your unroll: Thread by @SamParkerSenate: 1. Wuhan Coronavirus is an engineered offensive bioweapon. You're not being told this by… https://threadreaderapp.com/thread/1226311942354042880.html …. Enjoy :)",twitter.com/threadreaderapp/status/1229173288183660550
55,r,Chris Busby: Corona Virus Seems to be an engineered bioweapon https://www.veteranstoday.com/2020/02/16/chris-busby-corona-virus-seems-to-be-an-engineered-bioweapon/ … via @veteranstoday,twitter.com/branka25153603/status/1229172757084221440
56,r,A wild question: Is #Coronavirus an ethnic specific bioweapon?,twitter.com/RNemala/status/1230280276657393664
